,Time_UTC,Lat,Lon,Distance,Speed,Acceleration,Hacc,HDOP,SVNum
2023-06-13 16:20:12.100,9,35.560552,139.546901,0.0,0.239,0.029,1.6,1.0,8.0
2023-06-13 16:20:12.200,9,35.560552,139.546901,0.0,0.264,0.028,1.6,1.0,8.0
2023-06-13 16:20:12.300,9,35.560552,139.546901,0.0,0.28,0.029,1.5,1.0,8.0
2023-06-13 16:20:12.400,9,35.560552,139.546901,0.0,0.285,0.031,1.5,1.0,8.0
2023-06-13 16:20:12.500,9,35.560552,139.546901,0.0,0.28,0.034,1.5,1.0,8.0
2023-06-13 16:20:12.600,9,35.560553,139.546901,0.0,0.272,0.038,1.5,1.0,8.0
2023-06-13 16:20:12.700,9,35.560553,139.546901,0.0,0.269,0.041,1.5,1.0,8.0
2023-06-13 16:20:12.800,9,35.560553,139.5469,0.0,0.278,0.042,1.5,1.0,8.0
2023-06-13 16:20:12.900,9,35.560553,139.5469,0.0,0.301,0.04,1.5,1.0,8.0
2023-06-13 16:20:13.000,9,35.560553,139.5469,0.0,0.337,0.035,1.5,1.0,8.0
2023-06-13 16:20:13.100,9,35.560553,139.5469,0.0,0.377,0.028,1.5,1.0,8.0
2023-06-13 16:20:13.200,9,35.560553,139.5469,0.0,0.411,0.02,1.5,1.0,8.0
2023-06-13 16:20:13.300,9,35.560553,139.5469,0.0,0.43,0.011,1.5,1.0,8.0
2023-06-13 16:20:13.400,9,35.560553,139.5469,0.0,0.427,0.001,1.5,1.0,8.0
2023-06-13 16:20:13.500,9,35.560553,139.5469,0.0,0.406,-0.008,1.5,1.0,8.0
2023-06-13 16:20:13.600,9,35.560553,139.5469,0.0,0.374,-0.017,1.5,1.0,8.0
2023-06-13 16:20:13.700,9,35.560554,139.546899,0.0,0.341,-0.023,1.5,1.0,8.0
2023-06-13 16:20:13.800,9,35.560554,139.546899,0.0,0.317,-0.023,1.5,1.0,8.0
2023-06-13 16:20:13.900,9,35.560554,139.546899,0.0,0.307,-0.014,1.5,1.0,8.0
2023-06-13 16:20:14.000,9,35.560554,139.546899,0.0,0.307,0.005,1.5,1.0,8.0
2023-06-13 16:20:14.100,9,35.560554,139.546899,0.0,0.316,0.034,1.5,1.0,8.0
2023-06-13 16:20:14.200,9,35.560554,139.546899,0.0,0.329,0.068,1.5,1.0,8.0
2023-06-13 16:20:14.300,9,35.560555,139.546899,0.0,0.347,0.101,1.5,1.0,8.0
2023-06-13 16:20:14.400,9,35.560556,139.546899,0.0,0.377,0.128,1.5,1.0,8.0
2023-06-13 16:20:14.500,9,35.560556,139.546899,0.0,0.425,0.144,1.5,1.0,8.0
2023-06-13 16:20:14.600,9,35.560556,139.546899,0.0,0.496,0.147,1.5,1.0,8.0
2023-06-13 16:20:14.700,9,35.560556,139.5469,0.0,0.585,0.136,1.5,1.0,8.0
2023-06-13 16:20:14.800,9,35.560556,139.5469,0.0,0.682,0.112,1.5,1.0,8.0
2023-06-13 16:20:14.900,9,35.560556,139.5469,0.021344300875481913,0.768,0.078,1.5,1.6,8.0
2023-06-13 16:20:15.000,9,35.560556,139.5469,0.022979807764710612,0.827,0.036,1.5,1.6,8.0
2023-06-13 16:20:15.100,9,35.560556,139.5469,0.023479884922327245,0.845,-0.009,1.5,1.6,8.0
2023-06-13 16:20:15.200,9,35.560555,139.5469,0.02271528677140256,0.818,-0.053,1.5,1.6,8.0
2023-06-13 16:20:15.300,9,35.560555,139.5469,0.020837114346750313,0.75,-0.09,1.5,1.6,8.0
2023-06-13 16:20:15.400,9,35.560555,139.5469,0.0,0.656,-0.115,1.5,1.6,8.0
2023-06-13 16:20:15.500,9,35.560555,139.5469,0.0,0.555,-0.125,1.5,1.6,8.0
2023-06-13 16:20:15.600,9,35.560555,139.5469,0.0,0.464,-0.119,1.5,1.6,8.0
2023-06-13 16:20:15.700,9,35.560555,139.5469,0.0,0.396,-0.097,1.5,1.0,8.0
2023-06-13 16:20:15.800,9,35.560555,139.5469,0.0,0.359,-0.065,1.5,1.0,8.0
2023-06-13 16:20:15.900,9,35.560555,139.546899,0.0,0.354,-0.028,1.5,1.6,8.0
2023-06-13 16:20:16.000,9,35.560555,139.546899,0.0,0.376,0.006,1.5,1.6,8.0
2023-06-13 16:20:16.100,9,35.560555,139.546899,0.0,0.417,0.031,1.5,1.6,8.0
2023-06-13 16:20:16.200,9,35.560555,139.5469,0.0,0.467,0.042,1.5,1.6,8.0
2023-06-13 16:20:16.300,9,35.560555,139.5469,0.0,0.517,0.038,1.5,1.6,8.0
2023-06-13 16:20:16.400,9,35.560555,139.5469,0.0,0.556,0.023,1.5,1.6,8.0
2023-06-13 16:20:16.500,9,35.560555,139.5469,0.0,0.577,0.001,1.5,1.6,8.0
2023-06-13 16:20:16.600,9,35.560555,139.5469,0.0,0.574,-0.02,1.5,1.6,8.0
2023-06-13 16:20:16.700,9,35.560555,139.5469,0.0,0.546,-0.035,1.5,1.6,8.0
2023-06-13 16:20:16.800,9,35.560555,139.5469,0.0,0.497,-0.04,1.5,1.6,8.0
2023-06-13 16:20:16.900,9,35.560555,139.5469,0.0,0.437,-0.036,1.5,1.0,8.0
2023-06-13 16:20:17.000,9,35.560555,139.5469,0.0,0.381,-0.027,1.5,1.0,8.0
2023-06-13 16:20:17.100,9,35.560555,139.546899,0.0,0.346,-0.016,1.5,1.0,8.0
2023-06-13 16:20:17.200,9,35.560556,139.546899,0.0,0.342,-0.007,1.5,1.0,8.0
2023-06-13 16:20:17.300,9,35.560556,139.546899,0.0,0.373,0.002,1.5,1.0,8.0
2023-06-13 16:20:17.400,9,35.560557,139.546899,0.0,0.425,0.01,1.5,1.0,8.0
2023-06-13 16:20:17.500,9,35.560557,139.546899,0.0,0.479,0.019,1.5,1.0,8.0
2023-06-13 16:20:17.600,9,35.560557,139.546899,0.0,0.516,0.03,1.5,1.6,8.0
2023-06-13 16:20:17.700,9,35.560557,139.546899,0.0,0.523,0.042,1.5,1.6,8.0
2023-06-13 16:20:17.800,9,35.560558,139.546899,0.0,0.504,0.056,1.5,1.6,8.0
2023-06-13 16:20:17.900,9,35.560558,139.546899,0.0,0.473,0.075,1.6,1.6,8.0
2023-06-13 16:20:18.000,9,35.560558,139.546899,0.0,0.449,0.097,1.6,1.6,8.0
2023-06-13 16:20:18.100,9,35.560558,139.546899,0.0,0.452,0.12,1.6,1.0,9.0
2023-06-13 16:20:18.200,9,35.560558,139.546899,0.0,0.493,0.138,1.6,1.0,9.0
2023-06-13 16:20:18.300,9,35.560558,139.546899,0.0,0.576,0.143,1.6,1.0,9.0
2023-06-13 16:20:18.400,9,35.560559,139.5469,0.0,0.694,0.13,1.6,1.0,9.0
2023-06-13 16:20:18.500,9,35.560559,139.546899,0.022971903576528584,0.827,0.098,1.6,1.0,9.0
2023-06-13 16:20:18.600,9,35.560559,139.546899,0.026276225381856668,0.946,0.052,1.6,1.0,9.0
2023-06-13 16:20:18.700,9,35.560559,139.546899,0.028273861878173545,1.018,-0.002,1.6,1.0,9.0
2023-06-13 16:20:18.800,9,35.56056,139.546899,0.02828094767450444,1.018,-0.054,1.6,1.0,9.0
2023-06-13 16:20:18.900,9,35.56056,139.546899,0.026132819958904388,0.941,-0.097,1.6,1.0,9.0
2023-06-13 16:20:19.000,9,35.56056,139.546899,0.022292995147362958,0.803,-0.128,1.6,1.4,9.0
2023-06-13 16:20:19.100,9,35.56056,139.546899,0.0,0.638,-0.144,1.6,1.4,9.0
2023-06-13 16:20:19.200,9,35.560561,139.5469,0.0,0.487,-0.144,1.6,1.4,9.0
2023-06-13 16:20:19.300,9,35.56056,139.546899,0.0,0.383,-0.129,1.6,1.4,9.0
2023-06-13 16:20:19.400,9,35.56056,139.546899,0.0,0.344,-0.102,1.6,1.4,9.0
2023-06-13 16:20:19.500,9,35.560561,139.546899,0.0,0.366,-0.07,1.6,1.4,9.0
2023-06-13 16:20:19.600,9,35.560561,139.5469,0.0,0.428,-0.039,1.6,1.4,9.0
2023-06-13 16:20:19.700,9,35.560561,139.546899,0.0,0.5,-0.015,1.6,1.4,9.0
2023-06-13 16:20:19.800,9,35.560562,139.546899,0.0,0.555,-0.0,1.6,1.4,9.0
2023-06-13 16:20:19.900,9,35.560562,139.546899,0.0,0.573,0.004,1.6,1.4,9.0
2023-06-13 16:20:20.000,9,35.560561,139.5469,0.0,0.551,-0.001,1.6,1.4,9.0
2023-06-13 16:20:20.100,9,35.560561,139.5469,0.0,0.497,-0.011,1.6,1.0,9.0
2023-06-13 16:20:20.200,9,35.560562,139.5469,0.0,0.434,-0.022,1.6,1.0,9.0
2023-06-13 16:20:20.300,9,35.560562,139.5469,0.0,0.383,-0.029,1.6,1.4,9.0
2023-06-13 16:20:20.400,9,35.560562,139.5469,0.0,0.358,-0.027,1.6,1.4,9.0
2023-06-13 16:20:20.500,9,35.560562,139.546901,0.0,0.362,-0.015,1.6,1.4,9.0
2023-06-13 16:20:20.600,9,35.560562,139.546901,0.0,0.388,0.006,1.6,1.0,9.0
2023-06-13 16:20:20.700,9,35.560562,139.546901,0.0,0.421,0.028,1.6,1.0,9.0
2023-06-13 16:20:20.800,9,35.560562,139.546901,0.0,0.452,0.044,1.6,1.0,9.0
2023-06-13 16:20:20.900,9,35.560562,139.546901,0.0,0.477,0.047,1.6,1.0,9.0
2023-06-13 16:20:21.000,9,35.560563,139.546901,0.0,0.498,0.034,1.6,1.0,9.0
2023-06-13 16:20:21.100,9,35.560563,139.546901,0.0,0.518,0.009,1.6,1.0,9.0
2023-06-13 16:20:21.200,9,35.560563,139.546901,0.0,0.535,-0.022,1.6,1.0,9.0
2023-06-13 16:20:21.300,9,35.560563,139.546901,0.0,0.54,-0.05,1.5,1.0,9.0
2023-06-13 16:20:21.400,9,35.560563,139.546901,0.0,0.526,-0.068,1.5,1.0,9.0
2023-06-13 16:20:21.500,9,35.560563,139.546901,0.0,0.484,-0.075,1.5,1.0,9.0
2023-06-13 16:20:21.600,9,35.560563,139.546901,0.0,0.419,-0.069,1.5,1.0,9.0
2023-06-13 16:20:21.700,9,35.560563,139.546901,0.0,0.342,-0.052,1.5,1.0,9.0
2023-06-13 16:20:21.800,9,35.560564,139.546902,0.0,0.274,-0.027,1.5,1.0,9.0
2023-06-13 16:20:21.900,9,35.560564,139.546902,0.0,0.232,0.002,1.5,1.0,9.0
2023-06-13 16:20:22.000,9,35.560563,139.546902,0.0,0.229,0.032,1.5,1.0,9.0
2023-06-13 16:20:22.100,9,35.560563,139.546902,0.0,0.27,0.055,1.5,1.0,9.0
2023-06-13 16:20:22.200,9,35.560562,139.546902,0.0,0.347,0.067,1.5,1.0,9.0
2023-06-13 16:20:22.300,9,35.560562,139.546903,0.0,0.442,0.063,1.5,1.0,9.0
2023-06-13 16:20:22.400,9,35.560561,139.546903,0.0,0.534,0.043,1.5,1.0,9.0
2023-06-13 16:20:22.500,9,35.560561,139.546903,0.0,0.599,0.012,1.5,1.0,9.0
2023-06-13 16:20:22.600,9,35.560561,139.546903,0.0,0.618,-0.024,1.5,1.0,9.0
2023-06-13 16:20:22.700,9,35.56056,139.546904,0.0,0.583,-0.057,1.5,1.0,9.0
2023-06-13 16:20:22.800,9,35.56056,139.546904,0.0,0.5,-0.08,1.5,1.0,9.0
2023-06-13 16:20:22.900,9,35.560559,139.546904,0.0,0.388,-0.091,1.5,1.0,9.0
